url,doc_id,title,audience,category,language,document_version,license_or_permission
https://help.shopee.vn/portal/4/article/79233?utm_source=chatgpt.com,request-return-refund,"[Trả hàng/ Hoàn tiền] Hướng dẫn gửi yêu cầu Trả hàng/ Hoàn tiền",buyer,returns-policy,vi,not-stated,public-source
https://help.shopee.vn/portal/4/article/79467?utm_source=chatgpt.com,return-refund-evidence-guide,"[Trả hàng/Hoàn tiền] Hướng dẫn chuẩn bị bằng chứng khi yêu cầu Trả hàng/ Hoàn tiền",buyer,returns-policy,vi,not-stated,public-source
