doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
188931,data\Chinh_sach_thuong_mai_dien_tu\188931.md,[Trả hàng/Hoàn tiền] Những quy định chung về Trả hàng/Hoàn tiền của Shopee | Shopee Trung tâm trợ giúp,https://help.shopee.vn/portal/4/article/188931,9/20/2026,not-stated,public-source
189477,data\Chinh_sach_thuong_mai_dien_tu\189477.md,[Trả hàng/ Hoàn tiền] Các phương thức gửi hàng hoàn trả và phí hoàn trả | Shopee Trung tâm trợ giúp,https://help.shopee.vn/portal/4/article/189477,9/20/2026,not-stated,public-source
77245,data\Chinh_sach_thuong_mai_dien_tu\77245.md,QUY CHẾ HOẠT ĐỘNG SÀN THƯƠNG MẠI ĐIỆN TỬ SHOPEE.VN | Shopee Trung tâm trợ giúp,https://help.shopee.vn/portal/4/article/77245,9/20/2026,not-stated,public-source
77246,data\Chinh_sach_thuong_mai_dien_tu\77246.md,QUY ĐỊNH VỀ ĐĂNG BÁN SẢN PHẨM TRÊN SHOPEE | Shopee Trung tâm trợ giúp,https://help.shopee.vn/portal/4/article/77246,9/20/2026,not-stated,public-source
77247,data\Chinh_sach_thuong_mai_dien_tu\77247.md,CHÍNH SÁCH CẤM/HẠN CHẾ SẢN PHẨM | Shopee Trung tâm trợ giúp,https://help.shopee.vn/portal/4/article/77247,9/20/2026,not-stated,public-source
77251,data\Chinh_sach_thuong_mai_dien_tu\77251.md,CHÍNH SÁCH TRẢ HÀNG VÀ HOÀN TIỀN | Shopee Trung tâm trợ giúp,https://help.shopee.vn/portal/4/article/77251,9/20/2026,not-stated,public-source
79233,data\Chinh_sach_thuong_mai_dien_tu\79233.md,[Trả hàng/ Hoàn tiền] Hướng dẫn gửi yêu cầu Trả hàng/ Hoàn tiền | Shopee Trung tâm trợ giúp,https://help.shopee.vn/portal/4/article/79233,9/20/2026,not-stated,public-source
79467,data\Chinh_sach_thuong_mai_dien_tu\79467.md,[Trả hàng/Hoàn tiền] Hướng dẫn chuẩn bị bằng chứng khi yêu cầu Trả hàng/ Hoàn tiền | Shopee Trung tâm trợ giúp,https://help.shopee.vn/portal/4/article/79467,9/20/2026,not-stated,public-source
