doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
request-return-refund,data\return-policy\request-return-refund.md,[Trả hàng/ Hoàn tiền] Hướng dẫn gửi yêu cầu Trả hàng/ Hoàn tiền,https://help.shopee.vn/portal/4/article/79233?utm_source=chatgpt.com,2026-09-20,not-stated,public-source
return-refund-evidence-guide,data\return-policy\return-refund-evidence-guide.md,[Trả hàng/Hoàn tiền] Hướng dẫn chuẩn bị bằng chứng khi yêu cầu Trả hàng/ Hoàn tiền,https://help.shopee.vn/portal/4/article/79467?utm_source=chatgpt.com,2026-09-20,not-stated,public-source
